,Image,F1,Jaccard,Recall,Precision
125,1969.png,0.944510035,0.894854586,0.93676815,0.952380952
126,2459.png,0.944651842,0.895109197,0.934789592,0.954724409
127,587.png,0.973352034,0.948087432,0.965229485,0.981612447
128,2662.png,0.767916469,0.623266564,0.645650439,0.947306792
129,2930.png,0.860505667,0.755164499,0.998987854,0.755742726
130,943.png,0.936708861,0.880952381,0.898058252,0.978835979
131,1794.png,0.925714286,0.861702128,0.915254237,0.936416185
132,3043.png,0.881041589,0.235362185,1,0.235362185
133,2380.png,0.868360937,0.767347969,0.782351428,0.975617581
134,126.png,0.948160535,0.901430843,0.984375,0.914516129
135,1147.png,0.910204082,0.835205993,0.98021978,0.84952381
136,1883.png,0.939393939,0.885714286,0.955610358,0.923718713
137,2176.png,0.828298279,0.70691906,0.850746269,0.807004471
138,2304.png,0.776574408,0.634754098,0.635587656,0.997938144
139,369.png,0.913461538,0.840707965,0.852017937,0.984455959
140,2228.png,0.870006341,0.769921437,0.914666667,0.829504232
141,2114.png,0.948164147,0.901437372,0.992464205,0.907649897
142,451.png,0.958592133,0.920477137,0.926,0.993562232
143,1916.png,0.692109777,0.529180328,0.529180328,1
144,2349.png,0.687747036,0.524096386,0.524096386,1
145,2530.png,0.479360852,0.315236427,0.638297872,0.383795309
146,1419.png,0.949206349,0.903323263,0.973941368,0.925696594
147,86.png,0.832821143,0.713533439,0.980463097,0.723824786
148,2725.png,0.932207157,0.873022481,0.934908605,0.929521277
149,1013.png,0.874371859,0.776785714,0.87,0.878787879
150,777.png,0.928515318,0.866568915,0.92199688,0.935126582
151,2995.png,0.798719772,0.664890468,0.929635762,0.700124688
152,2992.png,0.93953186,0.885959534,0.979993218,0.902279113
153,1968.png,0.86553323,0.762942779,0.763462849,0.999107939
154,1191.png,0.839846743,0.723910172,0.930390492,0.765363128
155,2956.png,0.921751615,0.854860186,0.869918699,0.980152672
156,2187.png,0.88162919,0.78831563,0.995210728,0.791317593
157,2248.png,0.733674776,0.579373104,0.64527027,0.850148368
158,1452.png,0.935817805,0.879377432,0.913131313,0.959660297
159,2525.png,0.804355717,0.672738312,0.793128132,0.815905744
160,1108.png,0.743315508,0.591489362,0.691542289,0.803468208
161,2787.png,0.728652751,0.573134328,0.96,0.587155963
162,602.png,0.939458995,0.88582996,0.895986896,0.987364621
163,227.png,0.851132686,0.74084507,0.970479705,0.757925072
164,1567.png,0.788863109,0.651340996,0.994152047,0.653846154
165,1076.png,0,0,0,0
166,2565.png,0.961832061,0.926470588,0.947642465,0.976453055
167,1075.png,0,0,0,0
168,824.png,0.949615582,0.142606149,0.142606149,1
169,2543.png,0.916325336,0.845572354,0.99872449,0.846486486
170,460.png,0.954204829,0.912420382,0.93627451,0.972835314
171,1751.png,0.954022989,0.912087912,0.957692308,0.950381679
172,1390.png,0.921863799,0.855053191,0.865410498,0.986196319
173,754.png,0.591883614,0.42033714,0.474524248,0.78636826
174,117.png,0.634615385,0.464788732,0.489912448,0.900629811
175,941.png,0.827820187,0.706222865,0.831345826,0.824324324
176,347.png,0.946693387,0.898782344,0.946314103,0.947072975
177,247.png,0.914351852,0.842217484,0.985037406,0.853131749
178,837.png,0.801635992,0.66894198,0.894977169,0.725925926
179,1225.png,0.285084497,0.166238218,0.617834395,0.185291309
180,1428.png,0.96670247,0.935550936,0.949367089,0.984682713
181,2926.png,0.925735294,0.013035382,0.013035382,1
182,1774.png,0.881693649,0.788418708,0.965893588,0.810996564
183,2107.png,0.903962704,0.824755423,0.885388128,0.923333333
184,552.png,0.915638875,0.844404004,0.958677686,0.876298395
185,925.png,0.953359684,0.910876133,0.922018349,0.98690671
186,284.png,0,0,0,0
187,2780.png,0.515463918,0.347222222,0.370762712,0.845410628
188,860.png,0.622568093,0.451977401,0.453900709,0.990712074
189,375.png,0.979656819,0.960124827,0.988575509,0.970897616
190,834.png,0.853109244,0.743845252,0.906428571,0.805714286
191,2642.png,0,0,0,0
192,1375.png,0.834224599,0.71559633,1,0.71559633
193,681.png,0.978832839,0.9585432,0.980190174,0.977479257
194,384.png,0.968180714,0.938323917,0.99252988,0.944997629
195,2154.png,0,0,0,0
196,1657.png,0.929824561,0.868852459,0.98757764,0.878453039
197,69.png,0.938166311,0.883534137,0.977777778,0.901639344
